name,price,url,source,rating,reviews,weight_g,original_currency,original_value,standardized_price_inr,price_inr,cleaned_name,price_per_gram,dedup_hash,popularity_score,popularity_rank
"999 Chocolat 60% & 70% Dark Chocolate (Pack of 2 (140g))| Organic, Handmade Vegan Couverture Bar with Coconut Sugar | No R...",560.0,https://www.amazon.in/dp/B0DNSLP127,amazon,4.1,,140.0,INR,560.0,560.0,560.0,"999 Chocolat 60% & 70% Dark Chocolate (Pack of 2 (140g))| Organic, Handmade Vegan Couverture Bar with Coconut Sugar | No R...",4.0,961278d060989136b0e63606ed7bf0aa,10.25,41
"SFU E Com Assorted Chocolate Gift Hamper | Chocolate Gift For Birthday, Anniversary, Valentine, Diwali, Rakhi, New Year | 011",319.0,https://www.amazon.in/dp/B0CSWPL8DY,amazon,3.2,,,INR,319.0,319.0,319.0,"SFU E Com Assorted Chocolate Gift Hamper | Chocolate Gift For Birthday, Anniversary, Valentine, Diwali, Rakhi, New Year | 011",,ffb91c1ef78c4f87aa42eaa696770ed4,10.03,42
WINNI - Luxury 12 Pcs Truffle Chocolates Gift Pack | Belgian Dark Chocolates Gift | Handmade Celebration Chocolate Gift Bo...,499.0,https://www.amazon.in/dp/B0GPD5GZ6W,amazon,5.0,,,INR,499.0,499.0,499.0,WINNI - Luxury 12 Pcs Truffle Chocolates Gift Pack | Belgian Dark Chocolates Gift | Handmade Celebration Chocolate Gift Bo...,,5bc7dd8ecd4323f06be79719df484ac0,10.02,43
WINNI - Super Luxury 2 Bar Pack + 9 Pcs Truffle Chocolate Gift | Belgian Dark Chocolates | Imported Chocolates | Celebrati...,499.0,https://www.amazon.in/dp/B0GMWYKDLM,amazon,5.0,,,INR,499.0,499.0,499.0,WINNI - Luxury 2 Bar Pack + 9 Pcs Truffle Chocolate Gift | Belgian Dark Chocolates | Imported Chocolates | Celebrati...,,f45005af27c5823ad71c350afd2be127,10.02,44
WINNI - Luxury Imported 12 Pcs Truffle Chocolate Gift Pack | Belgian Dark Chocolates Gift | Premium Handmade Chocolates Gi...,499.0,https://www.amazon.in/dp/B0GSQ9JTW9,amazon,5.0,,,INR,499.0,499.0,499.0,WINNI - Luxury Imported 12 Pcs Truffle Chocolate Gift Pack | Belgian Dark Chocolates Gift | Premium Handmade Chocolates Gi...,,35dd81972243fa6f7c68603ae6bb322e,10.02,45
WINNI - Luxury 12 Pcs Belgian Truffle Chocolates Gift Pack | Imported Dark Chocolates Pack | Handmade Celebration Chocolat...,499.0,https://www.amazon.in/dp/B0GQ9549MY,amazon,5.0,,,INR,499.0,499.0,499.0,WINNI - Luxury 12 Pcs Belgian Truffle Chocolates Gift Pack | Imported Dark Chocolates Pack | Handmade Celebration Chocolat...,,8120c9ea3fe394a5040b91b384695480,10.02,46
ZOROY Luxury Chocolate Vegan Dark Gluten Free Purist Collection Craft Bean to Bar Single Origin Chocolate Bar Pack of 2 x ...,430.0,https://www.amazon.in/dp/B07SJFKZYF,amazon,4.1,,,INR,430.0,430.0,430.0,ZOROY Luxury Chocolate Vegan Dark Gluten Free Purist Collection Craft Bean to Bar Single Origin Chocolate Bar Pack of 2 x ...,,ece6c1dab4e472ef1b89439b7db445c0,9.53,47
Lindt Exotic Milk Truffles Chocolate Gift Box - 200 Grams Pack,849.0,https://www.amazon.in/dp/B0120JMATC,amazon,4.0,,200.0,INR,849.0,849.0,849.0,Lindt Exotic Milk Truffles Chocolate Gift Box - 200 Grams Pack,4.25,a29b2a2a490af9bda3a3c7b81e458e78,9.41,48
WINNI - 3 Pack Deluxe Chocolate Bar Gift Hamper | Premium Choco Bars Gift Pack | Belgian Dark Chocolates Gift | Chocolate ...,499.0,https://www.amazon.in/dp/B0CNSWFM2D,amazon,4.4,,,INR,499.0,499.0,499.0,WINNI - 3 Pack Deluxe Chocolate Bar Gift Hamper | Premium Choco Bars Gift Pack | Belgian Dark Chocolates Gift | Chocolate ...,,9ce851d72dea4bc92df2ba888d136c67,8.82,49
WINNI - Deluxe Imported 12 Pcs Truffle Chocolate Gift Pack | Belgian Dark Chocolates Gift | Premium Handmade Chocolates Gi...,499.0,https://www.amazon.in/dp/B0G6YG8H8H,amazon,4.4,,,INR,499.0,499.0,499.0,WINNI - Deluxe Imported 12 Pcs Truffle Chocolate Gift Pack | Belgian Dark Chocolates Gift | Premium Handmade Chocolates Gi...,,3ef26750815f1f20e0db215abf599bb2,8.82,50
