name,price,rating,reviews,url,source
"Lindt Lindor Milk Chocolate Gift Pack 75g, By COUGAR – Passionnement Fondant Lait Truffles with Smooth Melting Center – Pr...",599.0,,,https://www.amazon.in/dp/B0GQHDLG7D,amazon
Chokola Cosmos Premium Chocolate Hamper 400g – Dark Chocolate Coated Almonds & Assorted Nuts Dragees | Chocolate Dryfruits...,1399.0,4.1,,https://www.amazon.in/dp/B0BHF6NG17,amazon
"Choco Palace Chocostick Variety Pack | Assorted Premium Wafer Chocolate Bites – Almond, Saffron, Orange, Caramel, Mango & ...",1499.0,,,https://www.amazon.in/dp/B0FY3ND7LN,amazon
WINNI - Luxury 24 Pcs Truffle Chocolates Gift Pack | Belgian Dark Chocolates Gift | Handmade Celebration Chocolate Gift Bo...,899.0,4.7,,https://www.amazon.in/dp/B0GSQCF6G1,amazon
"4700BC Gourmet Popcorn Gift Box (4 Tins – BBQ Cheese, Salted Caramel, Mocha Walnut & Nutty Tuxedo Chocolate, 460g) | Premi...",977.0,4.4,,https://www.amazon.in/dp/B07H8WKF5V,amazon
Entisi Nutties Chocolates - Hazelnut Chocolate Coated Crunchy Dragees Jar - Gourmet Chocolate Nuts - Gift Jar - Smooth & C...,450.0,5.0,,https://www.amazon.in/dp/B0FY2G4R53,amazon
"SMOOR Premium Celebration Box of 20 | Chocolates Gift Pack Gifting best for Wedding, Birthday, Anniversary, Gifting & Snac...",616.0,4.2,,https://www.amazon.in/dp/B08QPWK7LV,amazon
Lindt Swiss Premium Assorted Napolitans Dark Chocolate Finest Collection Of Swiss Chocolate Gift Box individually wrapped ...,1760.0,4.4,,https://www.amazon.in/dp/B09W1F9MKM,amazon
Lindt Lindor Assorted Chocolate Truffle Gift Box 200-Gm,794.0,4.1,,https://www.amazon.in/dp/B07WZLKRV1,amazon
CookieMan Premium Chocolate Gift Pack | 25 Piece Chocolate Pack filled with Hazelnut Strawberry English Toffee | Luxury Ch...,584.0,4.8,,https://www.amazon.in/dp/B0DHX5RLJV,amazon
Loyka Hazelnut Florentine Box - 12 pcs | Premium Chocolate Gift Hamper | Choco & Nut Dryfruit Delicacy | Caramalised Hazel...,399.0,4.3,,https://www.amazon.in/dp/B0C1CDWSJR,amazon
"CookieMan Premium Chocolate Gift Box – 25 Center-Filled Chocolates, 275g | Indulgent Hazelnut, Strawberry & English Toffee...",585.0,3.9,,https://www.amazon.in/dp/B09J91LBPN,amazon
Loyka Bageecha Gift Box | Assorted Premium Chocolate & Nuts Hamper | Choco & Dryfruit Delicacy | Gift for New Year Weddin...,649.0,4.5,,https://www.amazon.in/dp/B0CJVDBDWD,amazon
7 BAZAARI Dubai Kunafa Chocolate Dates – 12 Pcs Premium Pistachio Dates Filled with Crispy Kunafa & Coated in Dark Chocola...,599.0,4.3,,https://www.amazon.in/dp/B0GRNGCN73,amazon
Pure Temptation Chocoblast Celebration Gift Box | 8 Chocolate-Filled Waffle Cones | Premium Chocolate Box for Gift | Choco...,297.0,4.2,,https://www.amazon.in/dp/B0FGQK44WC,amazon
"7 BAZAARI Authentic Dubai Chocolate Pistachio Kunafa Dessert, 10Pcs – Made with Premium Milk Chocolate & American Pistachi...",393.0,3.4,,https://www.amazon.in/dp/B0F7QNPW75,amazon
WINNI - Super Premium 24 Pcs Truffle Chocolates Gift Pack | Belgian Dark Chocolates Gift | Handmade Celebration Chocolate ...,899.0,4.2,,https://www.amazon.in/dp/B0GPPNDTVT,amazon
"Loyka Peach Gift Box | Assorted Premium Chocolate Hamper | Gift for Birthdays, Anniversary, Wedding | Almond Brittle Gold,...",899.0,4.1,,https://www.amazon.in/dp/B0B5P21QV6,amazon
"Cadbury Studio Signature Pralines Gianduja Hazelnut Chocolate Gift Pack, 130 g",356.0,4.2,,https://www.amazon.in/dp/B0DDCTNK2R,amazon
"Dessert Spring Happy Birthday Chocolate Gift Box, 185g Assorted Premium Pralines, Luxury 16pc Milk & Dark Chocolate Hampe...",249.0,4.5,,https://www.amazon.in/dp/B0DJRHCMMK,amazon
"Ferrero Collection Premium Assorted Chocolates Gift Box 269g By COUGAR | Includes Ferrero Rocher, Raffaello & Dark Chocola...",1696.0,5.0,,https://www.amazon.in/dp/B0GJT3YBXC,amazon
LOYKA Almond Brittle Gold Choco Box 14 Pcs (Pack of 1) | Premium Chocolate Gift Hamper|Choco & Nut Dryfruit Delicacy|Roast...,445.0,4.6,,https://www.amazon.in/dp/B08P4BVTFK,amazon
Barquillo Premium Pistachio Coated Chocolate - 10 Pcs (200 gm) Tin | Pista Cream Filled Biscuit Roll imported | Dubai couv...,673.0,4.1,,https://www.amazon.in/dp/B0CK77N4VZ,amazon
Pure Temptation Chocoblast Celebration Gift Box | 196g Chocolate-Filled Waffle Cones | Premium Chocolate Gift Hamper for M...,449.0,4.2,,https://www.amazon.in/dp/B0FGJVSHMS,amazon
"Cadbury Celebrations Premium Selections Chocolates Diwali Gift Pack,268 Gram",190.0,4.3,,https://www.amazon.in/dp/B07F2KKDD5,amazon
Ferrero Rocher Premium Milk Chocolate (300g) - 24 Pieces,879.0,4.4,,https://www.amazon.in/dp/B00WUE5VSA,amazon
"Cadbury Dairy Milk Silk Miniatures Premium Assorted Chocolate Gift pack, 240 g",562.0,4.5,,https://www.amazon.in/dp/B0GGDGRQD7,amazon
"Ferrero Rocher T8,Hazelnut,100 Gm",303.0,4.3,,https://www.amazon.in/dp/B0893HZQP8,amazon
Loyka Almond Brittle Assorted Choco Box - 28 Pcs| Premium Chocolate Gift Hamper | Chocolate & Nut Dryfruit Delicacy | Roas...,899.0,4.3,,https://www.amazon.in/dp/B0B4STXRCT,amazon
WINNI - Premium 24 Pcs Hazelnut Chocolates Gift Pack | Belgian Dark Chocolates Gift | Handmade Celebration Chocolate Gift ...,999.0,5.0,,https://www.amazon.in/dp/B0GPH2RS7C,amazon
"Barquillo Assorted Premium Chocolate Gift Pack Box - 9 Pcs (180 gm) | Roasted Almonds, Hazelnut and Pistachio imported | D...",649.0,3.9,,https://www.amazon.in/dp/B0CKTL8S18,amazon
Loyka Almond Brittle Gold Choco Box - 8 pcs 116gm | Premium Chocolate Gift Hamper | Chocolate & Nut Dryfruit Delicacy | Ro...,313.0,4.4,,https://www.amazon.in/dp/B0B68697VN,amazon
"Ferrero Collection T24 Chocolate, Imported Chocolates, Ideal For Gifting, Birthday Gift, Croquante Nut, Chocolate Collecti...",1523.0,4.2,,https://www.amazon.in/dp/B089NRMFML,amazon
"Cacao Springs Assorted Brittle Collection Choco Box (Almonds, Cashew, Pista & Rose), Combo Choco & Nut Delicacy Treats, Pr...",640.0,4.3,,https://www.amazon.in/dp/B0DSBM2L2G,amazon
"SMOOR Luxe Treat Box of 16 | Premium Assorted Chocolate Gift Box for Celebration, Wedding, Birthday, Anniversary, Gifting,...",540.0,4.5,,https://www.amazon.in/dp/B0FP2PQMH3,amazon
Hyperfoods® Valentine'S Chocolate Gift Hamper 175G Tin Box Valentine Gifts Valentine Gift For Girlfriend Valentines Gift F...,299.0,5.0,,https://www.amazon.in/dp/B0D9JSJC3V,amazon
"Loyka Dubai Pistachio Kunafa Chocolate Bar, 50% Milk Chocolate, Creamy Pistachio & Crunchy Kunafa, Middle Eastern Sweet, P...",399.0,3.8,,https://www.amazon.in/dp/B0F62Z85KL,amazon
"SMOOR Assorted Choco Truffles Box | Milk Chocolate with Centre Filling | Premium Chocolate for Wedding, Birthday, Annivers...",124.0,4.4,,https://www.amazon.in/dp/B0BFQC78J4,amazon
Chokola Cosmos Premium Chocolate Hamper 400g – Dark Chocolate Coated Almonds & Assorted Nuts Dragees | Festive Chocolate G...,1399.0,4.0,,https://www.amazon.in/dp/B0F7LQVSW5,amazon
"Cadbury Celebrations Premium Selections Chocolate Gift Pack, 339 gram",,4.3,,https://www.amazon.in/dp/B0C8V82H6R,amazon
Pure Temptation Chocoblast Choco-Filled Waffle Cones [20 Pc] Snacks for Kids & Adults- Non-Meltable Gift Pack - Individual...,449.0,4.2,,https://www.amazon.in/dp/B0CP64CQQ4,amazon
